Student_ID,Name,Age,Gender,City,Maths,English,Science,History,ICT,Parental_Education,Attendance_%
129,Student_129,17,Female ,Uppsala,-9,109,111,104,116,PhD,70.34
130,Student_130,17,Female ,Stockholm,absent,,21,,105,HighSchool,91.93
131,Student_131,17,Fmale,stockholm ,108,5,28,6,80,Masters,87.2
132,Student_132,18,Other,Uppsala,-6,9,84,85,102,PhD,86.44
133,Student_133,14,Female ,Malmo,6,69,43,46,29,bachelor ,81.39
134,Student_134,18,male ,Gothenburg,44,72,13,68,9,Bachelor,54.26
135,Student_135,20,Female ,Gothenburg,,114,-14,2,108,PhD,99.87
136,Student_136,18,male ,Göteborg,82,29,106,48,absent,HighSchool,63.01
137,Student_137,14,Fmale,Malmo,6,-13,37,18,97,High School,93.56
138,Student_138,14,Female,stockholm ,61,90,89,-5,81,bachelor ,82.16
139,Student_139,20,Female,Gothenburg,50,85,32,45,10,HighSchool,60.49
140,Student_140,14,Female ,Lund,116,37,55,103,90,Bachelor,98.67
141,Student_141,21,male ,Uppsala,14,38,,15,39,Bachelor,46.15
142,Student_142,14,Male,Malmo,-17,10,107,absent,75,bachelor ,78.83
143,Student_143,17,Male,Lund,2,-20,97,50,107,Masters,82.54
144,Student_144,21,Male,Stockholm,34,-12,116,92,-15,High School,86.82
145,Student_145,21,Female,Lund,-20,42,110,103,16,HighSchool,77.91
146,Student_146,20,Other,Stockholm,85,19,117,83,71,High School,52.11
147,Student_147,16,Female,Stockholm,81,95,-18,52,-9,Bachelor,79.64
148,Student_148,16,Other,Lund,53,113,-1,49,93,Masters,86.77
149,Student_149,14,male ,Stockholm,-4,9,59,45,14,Masters,95.29
150,Student_150,21,Female ,Lund,absent,90,103,23,68,Bachelor,88.37
151,Student_151,16,Male,Uppsala,24,117,94,86,81,Masters,44.7
152,Student_152,16,male ,Uppsala,23,60,30,115,117,PhD,77.8
153,Student_153,14,male ,Stockholm,80,16,absent,71,44,Bachelor,84.66
154,Student_154,16,Female ,Uppsala,65,115,113,110,54,bachelor ,103.18
155,Student_155,18,male ,Göteborg,55,60,47,78,80,High School,48.52
156,Student_156,15,Female ,Göteborg,-8,116,86,26,17,PhD,58.44
157,Student_157,20,Fmale,Lund,67,38,80,-16,41,PhD,92.39
158,Student_158,15,Female ,stockholm ,,45,9,6,absent,Bachelor,78.68
159,Student_159,14,Male,Malmo,0,78,80,6,18,Masters,60.2
160,Student_160,17,Other,Malmo,-18,97,104,51,60,HighSchool,84.5
161,Student_161,20,Other,Malmo,33,106,92,67,26,High School,58.58
162,Student_162,14,Male,Lund,19,106,-17,34,110,Bachelor,51.87
163,Student_163,21,Other,Stockholm,-15,19,116,72,58,Bachelor,46.76
164,Student_164,17,Female ,stockholm ,78,-12,40,91,34,bachelor ,78.4
165,Student_165,15,Fmale,Lund,56,60,77,17,-19,Bachelor,57.69
166,Student_166,14,Other,Stockholm,1,84,63,115,39,Masters,82.6
167,Student_167,21,Fmale,Stockholm,119,71,45,16,37,bachelor ,87.35
168,Student_168,20,Male,Göteborg,18,49,105,absent,30,bachelor ,93.43
169,Student_169,20,Fmale,Göteborg,-9,119,26,67,118,PhD,70.82
170,Student_170,19,male ,Uppsala,36,32,1,81,13,High School,51.02
171,Student_171,21,Female,Gothenburg,14,25,52,65,15,PhD,51.68
172,Student_172,18,male ,stockholm ,-10,17,,114,,High School,62.92
173,Student_173,16,Male,Gothenburg,117,109,-8,97,102,Bachelor,83.54
174,Student_174,17,Other,stockholm ,10,-16,89,17,97,HighSchool,98.86
175,Student_175,21,Other,Uppsala,45,78,-10,43,7,HighSchool,100.98
176,Student_176,19,Fmale,Stockholm,-1,absent,96,80,66,Masters,56.04
177,Student_177,16,Female ,Stockholm,119,82,109,106,100,HighSchool,49.71
178,Student_178,16,Female,Uppsala,118,13,34,-12,95,Bachelor,95.72
179,Student_179,14,Female ,Göteborg,49,30,-2,21,28,Bachelor,84.8
180,Student_180,16,Male,Malmo,63,-8,-11,77,94,HighSchool,67.12
181,Student_181,18,Other,Malmo,72,16,69,2,2,Masters,47.34
182,Student_182,20,Fmale,Lund,12,72,98,absent,-1,High School,64.49
183,Student_183,19,Other,Göteborg,-3,absent,119,59,90,High School,40.66
184,Student_184,16,Female ,Uppsala,43,92,19,99,36,bachelor ,97.29
185,Student_185,14,Female ,stockholm ,23,-15,-3,49,92,High School,89.56
186,Student_186,18,Female,Göteborg,33,14,23,60,0,PhD,74.22
187,Student_187,15,Female,Uppsala,-19,-8,32,119,60,HighSchool,75.08
188,Student_188,20,Fmale,Lund,38,,33,113,40,HighSchool,48.88
189,Student_189,20,Female,stockholm ,24,-11,-8,115,24,High School,99.11
190,Student_190,19,Female ,Malmo,73,89,22,103,72,HighSchool,55.82
191,Student_191,20,Female ,Malmo,107,86,111,-18,60,bachelor ,47.06
192,Student_192,16,Male,stockholm ,17,-9,-2,118,87,Bachelor,92.74
193,Student_193,14,Female ,stockholm ,32,86,55,90,-8,bachelor ,83.15
194,Student_194,20,Fmale,Gothenburg,74,-2,92,39,69,Masters,49.7
195,Student_195,20,male ,Gothenburg,104,86,72,116,85,Masters,40.31
196,Student_196,15,Male,Gothenburg,105,53,108,59,94,High School,90.57
197,Student_197,15,Male,Stockholm,95,-15,-13,59,53,Bachelor,97.2
198,Student_198,17,Fmale,Göteborg,0,absent,0,-4,40,High School,82.55
199,Student_199,18,Fmale,Lund,45,8,68,,-9,bachelor ,95.16
200,Student_200,16,Female,Malmo,61,49,66,88,48,Bachelor,83.38
201,Student_201,20,Male,stockholm ,14,absent,37,87,absent,High School,103.84
202,Student_202,21,Female,Göteborg,4,38,118,-12,24,PhD,103.48
203,Student_203,20,Female ,Stockholm,30,70,24,absent,53,High School,95.28
204,Student_204,14,Male,Uppsala,48,93,106,99,absent,HighSchool,82.34
205,Student_205,17,Male,Lund,-11,84,-3,83,67,High School,45.11
206,Student_206,18,Other,Stockholm,64,23,11,83,63,PhD,91.94
207,Student_207,21,male ,Stockholm,110,-9,73,118,-16,HighSchool,86.81
208,Student_208,17,Male,Uppsala,69,83,83,74,58,High School,94.96
209,Student_209,19,Female ,Stockholm,51,42,73,71,57,Bachelor,102.07
210,Student_210,18,Female,Stockholm,absent,71,93,8,-3,bachelor ,104.63
211,Student_211,20,Female,Gothenburg,-18,-13,0,16,54,High School,46.62
212,Student_212,20,Other,Göteborg,99,50,44,-14,98,HighSchool,40.54
213,Student_213,18,male ,Uppsala,45,0,65,76,3,HighSchool,87.2
214,Student_214,20,Female ,Uppsala,41,6,96,79,absent,High School,97.45
215,Student_215,16,Female,Göteborg,118,119,118,76,100,High School,77.06
216,Student_216,18,Fmale,Uppsala,43,absent,80,17,-20,bachelor ,43.9
217,Student_217,17,Female ,stockholm ,64,26,87,116,16,PhD,91.96
218,Student_218,18,Female ,Göteborg,37,58,77,absent,110,HighSchool,52.11
219,Student_219,21,male ,Göteborg,72,101,9,-1,62,bachelor ,71.35
220,Student_220,20,Female,Lund,117,94,-18,36,37,PhD,64.12
221,Student_221,16,Female ,Göteborg,63,10,,-10,-4,Masters,72.11
222,Student_222,16,Other,Uppsala,50,116,51,-4,50,bachelor ,50.09
223,Student_223,19,Other,Malmo,59,76,-15,30,-2,HighSchool,83.74
224,Student_224,17,Female,Lund,-7,62,96,38,80,PhD,66.56
225,Student_225,15,Other,stockholm ,70,-20,104,12,,PhD,64.96
226,Student_226,15,Fmale,Lund,28,-20,-9,5,absent,bachelor ,51.52
227,Student_227,18,male ,Malmo,112,114,112,15,-4,Bachelor,80.32
228,Student_228,19,Other,Göteborg,84,-8,-9,72,110,bachelor ,82.89
229,Student_229,14,Other,Göteborg,4,57,59,82,110,PhD,45.23
230,Student_230,18,Fmale,Göteborg,66,14,90,76,4,HighSchool,93.52
231,Student_231,19,male ,Göteborg,104,-16,13,36,98,Masters,97.65
232,Student_232,17,Female ,Uppsala,49,77,16,9,94,Masters,104.3
233,Student_233,17,male ,stockholm ,61,87,89,119,101,bachelor ,62.45
234,Student_234,17,Male,Malmo,16,-17,-8,76,14,PhD,79.46
235,Student_235,17,Female,Stockholm,absent,9,108,71,119,PhD,47.88
236,Student_236,17,Female,Gothenburg,108,98,46,53,105,Bachelor,67.29
237,Student_237,19,Male,Gothenburg,84,70,-3,62,6,PhD,95.82
238,Student_238,19,Fmale,Stockholm,54,14,115,95,87,HighSchool,86.89
239,Student_239,16,Male,Gothenburg,24,81,,21,-5,Masters,73.47
240,Student_240,21,Female ,Stockholm,14,111,35,-8,15,Bachelor,94.56
241,Student_241,15,Female ,stockholm ,-5,35,-9,106,12,Bachelor,93.98
242,Student_242,20,Female,Stockholm,-6,106,87,30,-5,Masters,99.06
243,Student_243,17,Female ,Göteborg,58,107,27,112,81,bachelor ,53.06
244,Student_244,14,Female,Gothenburg,48,63,14,61,-16,bachelor ,54.88
245,Student_245,20,Male,stockholm ,82,absent,,56,101,Bachelor,103.44
246,Student_246,19,Male,Stockholm,38,-3,106,-17,44,PhD,72.94
247,Student_247,14,Other,Gothenburg,28,65,39,20,-3,Masters,82.16
248,Student_248,14,Other,Uppsala,58,72,68,absent,109,Bachelor,98.91
249,Student_249,14,Male,Göteborg,111,79,74,27,4,Masters,75.33
250,Student_250,16,Female,Gothenburg,11,82,111,31,-10,bachelor ,49.71
251,Student_251,19,Male,Göteborg,35,-1,62,84,34,High School,65.01
252,Student_252,14,Male,Gothenburg,15,-4,37,79,33,PhD,73.61
253,Student_253,17,Fmale,Uppsala,37,absent,-11,117,46,Masters,70.89
254,Student_254,18,Male,stockholm ,30,31,-19,50,48,Bachelor,104.63
255,Student_255,14,Female ,Göteborg,95,76,19,18,-13,High School,55.05
256,Student_256,16,Female,stockholm ,47,29,71,13,64,PhD,89.55
257,Student_257,20,Fmale,stockholm ,1,-3,110,75,78,PhD,42.05
258,Student_258,19,Other,Lund,23,99,-5,-12,82,bachelor ,63.75
259,Student_259,21,male ,Gothenburg,33,64,-4,37,90,HighSchool,46.33
260,Student_260,16,Female,Stockholm,52,11,23,48,88,Bachelor,76.89
261,Student_261,14,Female ,Malmo,-19,44,83,51,-15,PhD,58.53
262,Student_262,19,Female,stockholm ,38,13,-8,69,51,Bachelor,80.52
263,Student_263,18,Other,Uppsala,-19,45,19,70,56,bachelor ,78.22
264,Student_264,14,Female ,Gothenburg,61,3,117,-12,51,Masters,73.47
265,Student_265,16,Female ,Uppsala,114,93,72,111,-1,Bachelor,94.93
266,Student_266,15,male ,Uppsala,112,31,8,81,100,PhD,68.61
267,Student_267,17,Female,Stockholm,53,-8,26,104,33,PhD,88.97
268,Student_268,21,male ,Stockholm,85,-1,53,-10,13,PhD,67.76
269,Student_269,20,male ,Gothenburg,79,40,30,43,1,PhD,102.24
270,Student_270,16,Female,Gothenburg,8,-3,43,58,110,bachelor ,50.4
271,Student_271,19,Male,Göteborg,113,83,11,61,91,PhD,87.75
272,Student_272,21,Male,Göteborg,72,56,-12,51,64,PhD,44.21
273,Student_273,21,Other,Uppsala,54,82,-20,9,56,PhD,50.36
274,Student_274,21,male ,Uppsala,41,30,53,28,64,PhD,74.42
275,Student_275,14,Fmale,Uppsala,85,7,absent,32,20,Masters,69.46
276,Student_276,17,male ,Stockholm,absent,35,absent,50,113,Masters,102.4
277,Student_277,14,male ,stockholm ,36,97,30,64,-20,Masters,40.07
278,Student_278,19,male ,Uppsala,76,57,32,,17,bachelor ,78.81
279,Student_279,14,Other,Lund,23,2,-9,50,17,PhD,60.66
280,Student_280,15,Male,Gothenburg,48,78,70,119,66,Bachelor,71.53
281,Student_281,17,Other,Gothenburg,11,115,55,-2,53,bachelor ,76.11
282,Student_282,17,Other,Malmo,93,13,-20,81,30,HighSchool,75.12
283,Student_283,19,Other,Lund,9,110,27,47,-15,Bachelor,102.37
284,Student_284,20,Male,stockholm ,-18,109,absent,59,113,Bachelor,104.14
285,Student_285,15,Male,stockholm ,23,-1,86,37,45,Bachelor,72.81
286,Student_286,16,male ,Uppsala,109,8,9,63,2,bachelor ,66.14
287,Student_287,14,Other,Stockholm,43,97,37,16,-18,Bachelor,86.97
288,Student_288,18,Fmale,Malmo,75,absent,16,112,94,HighSchool,73.71
289,Student_289,14,Male,Stockholm,37,118,-11,51,72,Bachelor,87.82
290,Student_290,21,Female,Stockholm,35,59,-1,56,85,bachelor ,64.91
291,Student_291,14,Female,Göteborg,9,68,81,101,29,bachelor ,70.27
292,Student_292,16,Female,stockholm ,34,-15,46,33,60,HighSchool,45.28
293,Student_293,14,Female ,Göteborg,36,36,85,48,55,Masters,82.69
294,Student_294,15,male ,Uppsala,22,27,55,99,104,PhD,93.31
295,Student_295,15,Female,Uppsala,-10,40,19,,31,HighSchool,51.56
296,Student_296,17,male ,stockholm ,64,40,24,absent,-9,PhD,101.84
297,Student_297,19,Female,Uppsala,23,-19,103,11,46,Masters,103.85
298,Student_298,20,Fmale,Göteborg,93,29,-12,-7,47,bachelor ,77.45
299,Student_299,18,male ,Lund,9,29,43,29,101,Masters,45.11
300,Student_300,21,Female,Lund,52,86,44,-5,104,Bachelor,91.7
301,Student_301,14,Male,Göteborg,-2,42,102,-7,29,PhD,70.35
302,Student_302,14,male ,Lund,51,84,,62,107,Bachelor,96.25
303,Student_303,16,Female ,Malmo,5,109,86,88,81,PhD,92.65
304,Student_304,19,Male,Stockholm,12,8,14,-2,93,High School,78.07
305,Student_305,15,Male,Uppsala,90,73,48,-10,62,HighSchool,42.27
306,Student_306,18,Other,Uppsala,75,16,absent,97,50,bachelor ,78.49
307,Student_307,17,Female ,Uppsala,96,118,0,81,82,PhD,89.54
308,Student_308,15,Male,Lund,1,77,81,55,8,Masters,82.57
309,Student_309,21,Male,Lund,86,50,62,0,54,HighSchool,82.54
310,Student_310,19,Female,Göteborg,96,84,53,40,105,PhD,89.82
311,Student_311,21,Female,Lund,18,-20,-5,98,55,High School,74.4
312,Student_312,20,male ,Göteborg,109,29,98,64,83,Bachelor,89.74
313,Student_313,17,male ,stockholm ,85,23,114,105,0,Bachelor,54.43
314,Student_314,20,male ,stockholm ,51,60,-11,75,67,Masters,66.45
315,Student_315,16,Female,Uppsala,49,59,67,105,93,HighSchool,82.83
316,Student_316,21,male ,Gothenburg,5,117,26,60,19,Bachelor,50.67
317,Student_317,16,Male,Göteborg,1,38,-17,22,88,bachelor ,89.82
318,Student_318,14,Female,Stockholm,83,57,-10,20,-19,PhD,78.08
319,Student_319,20,male ,Lund,117,24,66,16,19,HighSchool,87.53
320,Student_320,19,Male,Stockholm,58,97,40,106,86,PhD,95.96
321,Student_321,21,male ,Uppsala,30,58,1,98,95,Bachelor,102.91
322,Student_322,18,Fmale,Lund,110,28,84,42,1,PhD,58.81
323,Student_323,17,male ,Malmo,49,17,absent,37,17,High School,91.62
324,Student_324,15,Fmale,Lund,46,82,90,88,114,bachelor ,63.42
325,Student_325,19,male ,Stockholm,112,89,77,26,112,Bachelor,71.55
326,Student_326,19,Other,Malmo,108,18,88,117,100,PhD,79.75
327,Student_327,16,Other,Göteborg,-9,0,116,92,114,HighSchool,55.41
328,Student_328,20,Female ,Uppsala,3,-9,117,-10,,bachelor ,53.8
329,Student_329,21,Other,Uppsala,37,,1,8,67,Bachelor,78.48
330,Student_330,21,Other,Stockholm,39,-6,-5,106,53,Masters,85.49
331,Student_331,14,male ,Uppsala,53,74,36,absent,89,bachelor ,102.1
332,Student_332,14,Female,Lund,-19,-8,14,77,87,bachelor ,76.91
333,Student_333,17,Female,Göteborg,10,16,107,11,1,HighSchool,78.46
334,Student_334,16,Fmale,Malmo,57,-3,64,22,46,Bachelor,66.93
335,Student_335,19,Female,Uppsala,46,85,29,36,104,bachelor ,90.96
336,Student_336,21,Male,Göteborg,17,-14,67,114,64,PhD,87.82
337,Student_337,18,Female ,Uppsala,6,absent,65,-14,105,HighSchool,52.37
338,Student_338,16,Other,Stockholm,23,112,42,50,-3,Bachelor,64.99
339,Student_339,17,Female ,Gothenburg,106,23,119,70,48,Bachelor,48.79
340,Student_340,17,Male,Malmo,110,-6,58,27,17,PhD,47.1
341,Student_341,16,Other,Göteborg,25,-20,99,65,-10,Masters,100.56
342,Student_342,17,Fmale,Gothenburg,116,72,-19,34,5,PhD,83.2
343,Student_343,16,Male,Uppsala,70,24,-9,41,20,Bachelor,98.2
344,Student_344,15,Male,Malmo,73,,27,57,98,bachelor ,77.28
345,Student_345,16,Female ,Uppsala,10,39,49,57,56,Bachelor,56.72
346,Student_346,20,male ,Gothenburg,absent,76,25,-12,-2,PhD,56.94
347,Student_347,16,Female ,Lund,-19,-20,-5,28,48,Masters,55.83
348,Student_348,17,Female ,Gothenburg,112,82,29,32,48,HighSchool,60.52
349,Student_349,21,Female,Lund,-1,16,86,11,69,HighSchool,53.32
350,Student_350,20,Male,Göteborg,4,55,51,-5,28,HighSchool,49.13
351,Student_351,17,Female ,Malmo,46,34,105,62,-12,bachelor ,98.45
352,Student_352,14,Male,Lund,-8,8,26,62,21,bachelor ,77.32
353,Student_353,14,Female,stockholm ,36,95,76,101,57,High School,54.27
354,Student_354,21,Male,stockholm ,-16,64,-14,-11,15,bachelor ,77.21
355,Student_355,21,Female ,Göteborg,110,55,38,13,63,High School,56.05
356,Student_356,20,Male,Göteborg,48,86,-6,87,117,High School,84.4
357,Student_357,15,Other,Uppsala,-5,-1,93,90,103,High School,97.57
358,Student_358,21,Female,Gothenburg,absent,105,-19,-14,97,High School,50.65
359,Student_359,14,male ,Malmo,68,103,48,1,69,High School,75.83
360,Student_360,16,Male,Göteborg,91,111,-13,-5,6,High School,64.01
361,Student_361,17,Female ,Göteborg,107,43,80,37,,Masters,93.64
362,Student_362,14,Female,Uppsala,-6,61,24,40,102,High School,43.13
363,Student_363,14,Female ,Uppsala,53,21,55,113,14,Masters,85.21
364,Student_364,15,Female ,stockholm ,-14,64,96,61,30,Masters,81.92
365,Student_365,20,Male,Göteborg,34,1,86,,,Bachelor,90.71
366,Student_366,20,Female ,Göteborg,8,102,20,101,115,bachelor ,75.85
367,Student_367,19,Male,Göteborg,12,30,28,-10,33,Bachelor,68.93
